name,cb_desc,cb_id
ameren-corporation,"Ameren Corporation (Ameren) is a utility holding company. The Company»s principal subsidiaries are Union Electric Company (Ameren Missouri) and Ameren Illinois Company (Ameren Illinois). The Company's segments include Ameren Missouri and Ameren Illinois. Ameren Missouri operates a rate-regulated electric generation, transmission and distribution business, and a rate-regulated natural gas transmission and distribution business in Missouri. Ameren Illinois operates a rate-regulated electric and natural gas transmission and distribution business in Illinois. AER consists of non-rate-regulated operations, including Ameren Energy Generating Company (Genco), AmerenEnergy Resources Generating Company (AERG) and Ameren Energy Marketing Company (Marketing Company). In December 2013, the Company announced that it has completed the divestiture of its merchant generation business, formerly known as Ameren Energy Resources Company, LLC (AER).",ameren
american-express,"American Express is a global financial services company best known for its credit card, charge card and traveler»s cheque businesses.",americanexpress
amgen,"Amgen is one of the world»s leading biotechnology companies. Amgen is a values-based company, deeply rooted in science and innovation to transform new ideas and discoveries into medicines for patients with serious illnesses.",amgen-2
anixter-international,"Anixter International is a leading global distributor of communication and security products, electrical and electronic wire & cable, fasteners and other small parts. The company adds value to the distribution process by providing its customers access to 1) innovative inventory management programs, 2) more than 450,000 products and over $1 billion in inventory, 3) approximately 225 warehouses with 7 million square feet of space, and 4) locations in over 260 cities in more than 50 countries. Founded in 1957 and headquartered near Chicago, Anixter trades on the New York Stock Exchange under the symbol AXE.",anixter-international
applied-materials,"Applied Materials provides manufacturing solutions for the semiconductor, flat panel display and solar photovoltaic industries.",applied-materials
aramark,"ARAMARK is a leader in professional services, providing food services, facilities management, and uniform and career apparel to health care institutions, universities and school districts, stadiums and arenas, and businesses around the world.ARAMARK»s position as a world leader in facility services stems from decades of experience and superior service in the diversified outsourcing industry. From our humble beginnings in 1936 at the helm of Davre Davidson and his peanut vending machines to our place  for the sixth time in nine years  at the top of Fortune magazine»s list of the World»s Most Admired Companies, ARAMARK has maintained an unwavering focus on providing world-class experiences, environments, and outcomes for our clients.At ARAMARK, we take care of your buildings and infrastructure so that you can take care of your core business. We are proud to provide exceptional facility management services for 1,600 companies in 16,000 facilities  about 1.8 billion square feet worldwide.ARAMARK provides comprehensive facility service solutions that enable our clients to maximize safety, productivity, and reliability. Our success is the result of our steadfast commitment to service excellence. We pride ourselves on delivering customizable, sustainable solutions in a wide range of facilities by working closely with our clients to achieve mutual goals. Self-performed services, ongoing client communication, performance metrics, and an environment of team learning and development enable us to perform beyond expectations in virtually every client engagement.Whatever your company»s facility needs, you can count on ARAMARK to consistently exceed your expectations for service excellence with the best people, the most innovative processes, and the latest technologies.",aramark
ace,"ArgentumCidalElectrics Inc. is engaged in creating and testing technologies that eradicate the growth of bacteria, funguses and viruses.",ace
arthur-j-gallagher--co,"Arthur J. Gallagher & Co. is an international service provider plans, designs, and administers a full array of customized, cost-effective property/casualty insurance and risk management programs. The company also furnishes a broad range of risk management services including claims and information management, risk control consulting and appraisals to help corporations and institutions reduce their cost of risk. In addition, the company assists clients in all areas of their employee health/welfare and retirement plans, including plan design, funding and administration.Gallagher has operations in 17 countries and, through the Gallagher Global Alliance and its international operations, Gallagher offers client-service capabilities in more than 100 countries around the world. Some of the company's offices are fully staffed with sales, marketing, claims, loss control and other specialists; some function as servicing offices for the various divisions.",arthur-j-gallagher-co
norfolk,"As a leading transportation provider, Norfolk Southern operates 20,000 route miles in 22 states and D.C., supports international trade with service to every major Eastern seaport, 10 river ports, and nine lake ports, and operates the most extensive intermodal network in the East. NS' board of directors and executive management team lead one of the nation»s top transportation companies. NS invests in projects to expand the rail network, increase freight capacity, and improve efficiency for customers. These projects create jobs and reduce greenhouse gas emissions, making green shipping a reality.",norfolk-southern-corporation
fannie-mae,"As the leading source of residential mortgage credit in the U.S. secondary market, Fannie Mae is supporting today's economic recovery and helping to build a sustainable housing finance system. They exist to provide reliable, large-scale access to affordable mortgage credit in all communities across the country at all times so people can buy, refinance, or rent homes.Fannie Mae is working to establish and implement industry standards_ develop better tools to price and manage credit risk_ build new infrastructure to ensure a liquid and efficient market and facilitate the collection and reporting of data for accurate financial reporting and improved risk management.Fannie Mae is committed to being their customers» most valued business partner and delivering the products, services and tools their customers need to serve the entire market confidently, efficiently and profitably.Ultimately_ Fannie Mae measures their progress not only by paying taxpayers and improving the housing finance system_ but also by the difference they make in people»s lives.",fannie-mae
archerdanielsmidland-company,"As the world's population grows, so does demand for quality foods, feed ingredients for livestock, alternative fuels, and environmentally friendly alternatives to traditional chemicals. As one of the world's leading agricultural processors, Archer Daniels Midland Company (ADM) plays a pivotal role in meeting all of these needs.ADM produce the food ingredients, animal feeds and feed ingredients, biofuels and other products that manufacturers around the world use to provide wholesome food and a better life to millions of people around the globe.",archer-daniels-midland-company
asbury-automotive-group,"Asbury Automotive Group, Inc., headquartered in Duluth, GA, is one of the largest automotive retailers in the U.S. Built through a combination of organic growth and a series of strategic acquisitions, Asbury now operates through geographically concentrated, individually branded regions.Asbury Automotive Group is building the foundation today that will change the way we do business tomorrow.",asbury-automotive-group
assurant,"Assurant, Inc. is a provider of specialty insurance products in the U.S. and select worldwide markets. Assurant partners with industry market leaders to deliver security and peace of mind for our customers. The company operates its business through four business segments: Assurant Employee Benefits, Assurant Health, Assurant Solutions and Assurant Specialty Property. With more than 100 years of experience in the insurance industry combined, Assurant is led by a team of talented employees whose insurance industry expertise drives our strong performance.",assurant
hca-holdings,"At its founding in 1968, Nashville-based HCA was one of the nation's first hospital companies. Today, we are the nation's leading provider of healthcare services, a company comprised of locally managed facilities that includes about 162 hospitals and 113 freestanding surgery centers in 20 states and England and employing approximately 199,000 people.HCA is committed to the care and improvement of human life and strives to deliver high quality, cost effective healthcare in the communities we serve. Building on the foundation provided by our Mission & Values, HCA puts patients first and works to constantly improve the care we give them by implementing measures that support our caregivers, help ensure patient safety and provide the highest possible quality.Investing in our communities is important to us. HCA typically invests about $1.5 billion annually to keep our facilities modern and up-to-date technologically and to expand and add services where needed. Focusing primarily on communities where the company is a leading healthcare provider, HCA selectively adds new facilities in order to better serve our communities.",hca
l-brands,"At L Brands, we are guided in our work and our interactions with others by four core principles  our values. These are the same beliefs that have made us successful since our start in 1963. LBrands (formerly Limited Brands), through Victoria's Secret, Pink, Bath & Body Works, La Senza and Henri Bendel, is an international company that sells lingerie, personal care and beauty products, apparel and accessories. The company operates more than 2,600 specialty stores in the United States, and its brands are sold in more than 680 company-owned and franchised additional locations worldwide. Additionally, the company's products are available through the Victoria's Secret Catalogue and online at www.VictoriasSecret.com, www.BathandBodyWorks.com, www.HenriBendel.com and www.LaSenza.com. L Brands recorded sales of $10.5 billion in 2012 and employs more than 99,000 associates throughout North America",limited-brands
att,"AT&T is a telecommunications company that provides wireless communications, local exchange, and long-distance services for consumers and businesses in the United States and internationally.The company offers its services in two segments: wireless and wireline. Its wireless segment offers various wireless voice, data, text, and other services. This segment sells various handsets, wirelessly-enabled computers, and wireless data cards for personal computers through its owned stores, agents, and third-party retail stores. It also sells accessories comprising carrying cases, hands-free devices, batteries, battery chargers, and other items to consumers as well as to agents and third-party distributors. As of December 31, 2013, this segment served approximately 110 million wireless subscribers.The company»s wireline segment provides data services such as switched and dedicated transport, DSL internet access, network integration, managed web hosting, packet, and enterprise networking services as well as local, interstate, and international wholesale networking capacity solutions to other service providers. This segment also offers voice services consisting of local and long-distance services; wholesale switched access services to other service providers; and outsourcing and integration services as well as CPE and government-related services. This segment has served approximately 12 million retail consumers, 10 million retail businesses, and 2 million wholesale access lines.AT&T is headquartered in Dallas, Texas.",at-t
audi,"Audi designs, develops, produces, assembles, distributes, and sells vehicles of the Audi and Lamborghini brands in Germany and internationally.The company operates through automotive and motorcycles segments. It offers cars through the premium and supercar segments. The company also sells vehicles of other Volkswagen Group brands; and provides engines, accessories, machinery, tools, and other technical articles as well as offers used cars.The company offers vehicles of the Bentley, SEAT, Skoda, VW Passenger Cars, and VW Commercial Vehicles brands. In addition, it develops, produces, assembles, and distributes motorcycles under the Ducati brand as well as sells accessories and spare parts.Audi was founded in 1899 and is headquartered in Ingolstadt, Germany. It is a subsidiary of Volkswagen AG.",audi
autoowners-insurance-group,"Auto-Owners Insurance is the largest property and casualty insurance company domiciled in Michigan.Auto-Owners success can be traced back from its present management to the early leadership of Vern V. Moulton who, in 1916, organized Auto-Owners Insurance Company in Mt. Pleasant, Michigan. The infant Company had no capital and was housed in one room of a bank building.Auto-Owners operated in Mt. Pleasant for a little less than a year. In 1917, V.V. Moulton literally picked the Company up, placed it under his arm and in his pocket (the Company consisted of one book of policyholders' names and $174.25 in assets), and moved Auto-Owners to Lansing, Michigan.It wasn't long before the Depression began, and Auto-Owners weathered even the lowest point of that era - the bank holidays of February 1933. The Company demonstrated its corporate toughness and financial stability by paying all claims promptly, daily, and IN CASH! The firm was then writing more than $2.5 million in insurance premiums.Auto-Owners entered the general casualty insurance field in 1940, having previously written only automobile insurance. During the next five years, the Company found it necessary to acquire three more buildings in the vicinity of its main office to accommodate its continued growth. In 1951 it consolidated all of its offices into one home office, which was constructed in downtown Lansing.",auto-owners-insurance
autoliv,"Autoliv, Inc. (Autoliv) is a holding company. Autoliv is the supplier of automotive safety systems, with a range of product offerings, including modules and components for passenger and driver-side airbags, side-impact airbag protection systems, seatbelts, steering wheels, safety electronics, whiplash protection systems and child seats, as well as night vision systems, radar and other active safety systems. Autoliv has two main operating segments: airbags/seatbelt (including restraint electronics) products and active safety electronics products. In addition, in April 2010, Autoliv Inc.'s Automotive Holding AS increased its stake in Norma AS from 51% to 93.74%. Additionally, Skandinaviska Enskilda Banken AB and ING Luxembourg SA sold their 6.67% and 10% stake, respectively, held in Norma AS. In November 2011, the Company acquired the airbag cushion cut&sew assets from Milliken. In June 2012, the Company sold its subsidiary Autoliv Mekan AB to Verktygs Allians i Hassleholm AB.",autoliv
automatic-data-processing,"Automatic Data Processing, Inc. (ADP) is one of the largest providers of business processing and cloud-based solutions  including payroll, talent management, human resource management, benefits administration and time and attendance  to employers and automotive dealerships around the world. We build configurable solutions that can fit your organization's unique goals and increase your productivity.ADP serves about 620,000 organizations in more than 125 countries, including 425,000 small-business clients and 26,000 vehicle dealerships. Over 80 percent of FORTUNE 500 companies and more than 90 FORTUNE 100 companies use at least one of ADP's services.Partnering with ADP means you get solutions with the latest technology  so you can focus your limited time and resources on your business, not back-office administration.",adp
autonation,"AutoNation, Inc. (AutoNation) is an automotive retailer in the United States. As of December 31, 2011, the Company had three operating segments: Domestic, Import, and Premium Luxury. As of December 31, 2011, it owned and operated 258 new vehicle franchises from 215 stores located in the United States, predominantly in metropolitan markets in the Sunbelt region. Its stores sell 32 different brands of new vehicles. The core brands of vehicles that it sells, representing approximately 90% of the new vehicles that it sold during the year ended December 31, 2011, was manufactured by Ford, Toyota, Nissan, General Motors, Honda, Mercedes-Benz, BMW, and Chrysler. The Company offers a diversified range of automotive products and services, which include new vehicles, used vehicles, parts and automotive repair and maintenance services, and automotive finance and insurance products. In January 2014, Autobytel Inc. acquired AutoUSA from AutoNation, Inc.",autonation
bmw,"Bayerische Motoren Werke AG (BMW), is a German automobile and motorcycle manufacturing company. Founded in 1916, it is known for its performance and luxury vehicles. It owns and produces the MINI brand, and is the parent company of Rolls-Royce Motor Cars.As a global company, the BMW Group operates 25 production and assembly facilities in 14 countries and has a global sales network in more than 140 countries.",bmw
bcg,"BCG & Co. serves companies across industries, including manufacturing and distribution, construction and real estate.",bcg-co
becton-dickinson-and-company,"BD is a leading medical technology company that partners with customers and stakeholders to address many of the world»s most pressing and evolving health needs. Our innovative solutions are focused on improving drug delivery, enhancing the diagnosis of infectious diseases and cancers, supporting the management of diabetes and advancing cellular research. We are nearly 30,000 associates in 50 countries who strive to fulfill our purpose of Helping all people live healthy lives by advancing the quality, accessibility, safety and affordability of healthcare around the world.",becton-dickinson
best-buy,"Best Buy is a multinational retailer of technology and entertainment products and services offering consumer electronics and more. Its family of brands and partnerships includes brands such as Best Buy, Audiovisions, Future Shop, Geek Squad, Jiangsu Five Star, Magnolia Audio Video, Pacific Sales, and Cowboom. The company is comprised of over 155,000 employees, and they apply their talents to bring the benefits of its brands to the lives of its customers through retail locations, multiple call centers, and websites, in-home solutions, product delivery, and activities in its community.Best Buy»s product portfolio includes consumer electronic video products such as televisions, digital cameras and accessories, digital camcorders, and DVD players; audio products comprising MP3 players, navigation products, home theater audio systems, and components; mobile electronics home office products comprising notebook and desktop computers, monitors, mobile phones and related subscription service commissions, hard drives, and networking equipment; entertainment software products such as video gaming hardware and software, DVDs, CDs, digital downloads, and computer software; and appliances, such as kitchen appliances, plumbing fixtures, snacks, and beverages.Best Buy provides its users with service contracts; extended warranties; product repair; broadband voice, data, and information technology services; and delivers and installs home theater, mobile audio, and appliances. In addition, the company engages in online retailing through BestBuy.com, BestBuy.ca, BestBuy.com.cn, Espanol.BestBuy.com, and BestBuyMobile.com; CarphoneWarehouse.com; Five-Star.cn; FutureShop.ca; GeekSquad.com and GeekSquad.ca; MagnoliaAV.com; Napster.com; PacificSales.com; PhoneHouse.com; and Speakeasy.net.Best Buy was founded in 1966 and is headquartered in Litchfield, M.N. with additional offices in the United States, Canada, Mexico, China, and Europe.",bestbuy
big-lots,"Big Lots, Inc., through its wholly owned subsidiaries, is a North America's closeout retailer. At January 28, 2012, the Company operated a total of 1,533 stores in two countries: the United States and Canada. The Company operates in two segments: U.S. and Canada. The merchandising categories include Consumables, Furniture, Home, Seasonal, Play n' Wear, and Hardlines & Other. The Consumables category includes the food, health and beauty, plastics, paper, chemical, and pet departments. The Furniture category includes the upholstery, mattresses, ready-to-assemble, and case goods departments. The Home category includes the domestics, stationery, and home decorative departments. The Seasonal category includes the lawn and garden, Christmas, summer, and other holiday departments. The Play n' Wear category includes the electronics, toys, jewelry, infant accessories, and apparel departments. The Hardlines & Other category includes the appliances, tools, paint, and home maintenance departments.",big-lots
black-and-decker,"BLACK+DECKER provides consumers with products that help make everyday living and working easier and more efficient. We»ve been doing it for 100 years, and we plan to continue doing so, with the same passion and innovation.",black-decker
blackrock,"BlackRock's business is investing on behalf of our clients, from large institutions to parents and grandparents, doctors and teachers who entrust their savings to us. We work only for our clientsperiod. Our promise is to offer them the clearest thinking about what to do with their money and the products and services they need to secure a better financial future.That's why investors of all kinds have made us the world»s largest asset manager, entrusting us with trillions of dollars, and it»s why companies, institutions and global governments come to us for help meeting their biggest financial challenges.Important disclosures: http://www.blackrock.com/corporate/en-us/compliance/social-media-guidelines",blackrock
the-bank-of-new-york-mellon,"BNY Mellon's history of providing distinguished service spans 225 years. Founded in 1784, soon after the birth of the new American republic, their history is inextricably woven into the broader history of the nation.BNY Mellon is a global leader in investment management and investment services. They are focused on helping clients manage and service their financial assets. BNY Mellon is the corporate brand of The Bank of New York Mellon Corporation.BNY Mellon is a global investments company dedicated to helping its clients manage and service their financial assets throughout the investment lifecycle. Whether providing financial services for institutions, corporations or individual investors, BNY Mellon delivers informed investment management and investment services in 35 countries and more than 100 markets.As of December 31, 2013, BNY Mellon had $27.6 trillion in assets under custody and/or administration, and $1.6 trillion in assets under management. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments.",bnymellon
bond-street,"Bond Street is a startup focused on transforming small business lending through technology, data and design. Small business owners are the foundation for growth in our economy, and yet today»s banking system has left them behind. We»re building a better future where access to financing is simple, transparent and fair.",bond-street-marketplace
booking.com,"Booking.com B.V., part of the Priceline Group (Nasdaq: PCLN), owns and operates Booking.com‹¢, the world leader in booking accommodations online. Each day, over 750,000 room nights are reserved on Booking.com. The Booking.com website and apps attract visitors from both the leisure and business sectors worldwide.Founded in 1996, Booking.com is the world's most popular hotel reservations website, with trusted services in 41 languages. Booking.com B.V. guarantees the best prices for any type of property, from small, family-run bed and breakfasts to executive apartments and five-star luxury suites. Independent accommodations are also specifically a focus of Villas.com, a sister site recently launched by Booking.com.Booking.com B.V., registered in Amsterdam, provides an online accommodation reservation service. It is the owner, controller and manager of the website, Www.booking.com. Internationally, Booking.com is supported by various local companies  below, you can see the list of our support companies worldwide. It is the job of these support companies to provide in-country support for Booking.com, and in some instances, to provide customer care support. The support companies do not provide an online reservations service and they do not own, control, host, manage or maintain the Booking.com website (or any other website).Booking.com is domiciled only at its registered office in Amsterdam and not at the offices of any support companies around the world. The support companies are not authorised to act as Booking.com»s process or service agents.Truly international, Booking.com is available in more than 40 languages, and offers over 566,189 properties in 210 countries",booking-com
booz-allen-hamilton-holding-corp,"Booz Allen Hamilton Inc. provides professional services primarily to US government agencies in the defense, security, and civil sectors, as well as to corporations, institutions, and not-for-profit organizations. The company provides a range of services in strategy, operations, organization and change, information technology, systems engineering, and program management. Its services include acquisition and program management services, assurance and resilience, cyber consulting, economic and business analysis, information technology consulting, intelligence and operations analysis, modeling and simulation, organization and strategy, scientific innovation, supply chain and logistics management, and systems integration and management. The company was founded in 1914 and is headquartered in McLean, Virginia.",booz-allen-hamilton
borgwarner-inc,"BorgWarner is a global product leader in powertrain solutions. They focus on developing leading powertrain technologies that improve fuel economy, emissions and performance. Their facilities are located across the globe in order to provide local support of their diverse customer base.",borg-warner-corporation
budweiser,"Budweiser is a craft beer brew company that offers alcoholic beverages and merchandise. It facilitates a website that enables its users to find events, recipes, their products, and more.Budweiser was founded by Adolphus Busch in 1857. It is based in Memphis, Tennessee.",budweiser
burger-king,"Burger King is a global chain of hamburger fast food restaurants. It operates in over 13,000 locations serving more than 11 million guests daily in 98 countries and territories worldwide.Burger King was founded in 1954 and is headquartered in Miami, Florida.",burger-king
burlington-stores,"Burlington Coat Factory, you»ll find a large assortment of current, high-quality, designer and name-brand merchandise at up to 65% off department store prices every day. Choose from a large selection of coats, clothing, and shoes for the entire family. And don»t forget our great assortment of linens and home dí©cor, plus furniture and accessories for baby at Baby Depot.",burlington-coat-factory
c.h.-robinson,"C.H. Robinson Worldwide, Inc. (C.H. Robinson) is a third party logistics company. The Company provides freight transportation services and logistics solutions to companies of all sizes, in a range of industries. The Company operates through a network of 276 offices, which the Company calls branches, in North America, Europe, Asia, South America, and Australia. The Company has developed global transportation and distribution networks to provide transportation and supply chain services worldwide. In addition to transportation, the Company provides sourcing services (Sourcing). The Company's Sourcing business is primarily the buying, selling, and marketing of fresh produce. The Company supplies fresh produce through its network of independent produce growers and suppliers. The Company's customers include grocery retailers and restaurants, produce wholesalers, and foodservice distributors.",c-h-robinson
cameron-international-corporation,"Cameron International Corp. designs, manufactures, markets and services equipment used by the oil and gas industry and industrial manufacturing companies. It provides flow equipment products, systems and services to worldwide oil, gas and process industries.",cameron
canon,"Canon Europe is the European arm of Canon, a manufacturer of business and consumer imaging products worldwide.It distributes imaging products, including printers, scanners, binoculars, camcorders, photocopiers, steppers, computer printers, and medical equipment as well as a range of digital compact and SLR cameras. It offers print and document solutions for small and medium businesses, large corporations, and governments. The company»s portfolio of products includes multifunctional printers, black and white and color office printers, large format printers, scanners, black and white and color production printers, handy terminals and microfilm scanners, and software to support these products.",canon
capital-one,"Capital One Financial Corporation, incorporated in July 21, 1994, is a diversified banking company focused primarily on consumer and commercial lending and deposit origination.Its principal business segments are Local Banking and National Lending. Local Banking includes consumer, small business and commercial deposits, and lending conducted within its branch network. The National Lending segment consists of three sub-segments: - The U.S. Card sub-segment, which consists of domestic consumer credit and debit card activities; - The Auto Finance sub-segment, which includes automobile and other motor vehicle financing activities, - The Global Financial Services sub-segment consisting of international lending activities, small business lending, installment loans, home loans, healthcare financing and other diversified activities.",capital-one
carrier,"Carrier is the world leader in heating, air-conditioning and refrigeration solutions. They constantly build upon their history of proven innovation with new products and services that improve global comfort and efficiency.",carrier-corporation
cartier,"Cartier designs, manufactures, distributes, and sells jewelries, watches, perfumes, and accessories. It develops a wide range of luxury collections of jewelries, watches, leather goods, fragrances, and accessories. From the Trinity ring to the Love bracelet, the Santos de Cartier to the Tank watches, the Panther ring to the Caresse d'Orchidí©es par Cartier brooch; Cartier is the reference for its design and savoir-faire and it recognizes as a pioneer for its creations, icons of rarity, styles, and craftsmanship. The services of the company are online purchases, client services, and expertise guides.Cartier is a France-based company that was founded in 1847.",cartier
