HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Answer.cb_desc,Answer.in_cb,Answer.web_url,Approve,Reject
3GKAWYFRAQ0KWY78Z77FMRTXDP4PDP,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3OCHAWUVGQS06XD33H8K815AZ44KX3,A3OE4LKJ2ORFZS,Submitted,Thu Apr 06 08:32:46 PDT 2017,Thu Apr 06 08:34:19 PDT 2017,Fri Apr 07 08:34:19 PDT 2017,,,,93,100% (3/3),100% (3/3),100% (3/3),crown-holdings-inc,"Crown is proud to be the leader in metal packaging technology. With operations in 41 countries employing over 21,900 people and net sales of $8.5 billion, we provide global breadth as well as regional expertise. We're also proud of our World-Class Performance standards and the innovations provided to the industry from our technology centers. Founded in 1892.",,https://www.crunchbase.com/organization/crown-holdings#/entity,,
37AQKJ12TYVP5FWC2EGEW5CG5EDTTH,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3WQ3B2KGEAORNTOGQBAKEPIJ7VGB1I,A3F6SDO4GYBE4Y,Submitted,Thu Apr 06 08:31:28 PDT 2017,Thu Apr 06 08:32:40 PDT 2017,Fri Apr 07 08:32:40 PDT 2017,,,,72,0% (0/0),0% (0/0),0% (0/0),jetblue-airways-corporation,"JetBlue Airways Corporation (JetBlue) is a passenger airline that operates primarily on point-to-point routes with its fleet of 120 Airbus A320 aircraft and 49 EMBRAER 190 aircraft. As of December 31, 2011, it served 70 destinations in 22 states, Puerto Rico, Mexico and 12 countries in the Caribbean and Latin America. Most of JetBlue flights have as an origin or destination New York or one of its other focus cities: Boston, Fort Lauderdale, Los Angeles, Orlando or San Juan, Puerto Rico. As of December 31, 2011, the Company operated an average of 700 daily flights. During the year ended December 31, 2011, the Company acquired eight take-off and landing slots at each of New York‰Ûªs LaGuardia Airport and Washington D.C.‰Ûªs Ronald Reagan National Airport. The Company‰Ûªs operations primarily consist of transporting passengers on its aircraft with domestic United States operations, including Puerto Rico, which accounted for 85% of its capacity in 2011.",,https://www.crunchbase.com/organization/jetblue-airways#/entity,,
38RHULDV9ZMROIKV37ML5IH6YRFWIT,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3KYQYYSHYXF5YIT1A9Z1LBJR3R2DOE,A3G8NSPRF986WP,Submitted,Thu Apr 06 08:33:40 PDT 2017,Thu Apr 06 08:35:57 PDT 2017,Fri Apr 07 08:35:57 PDT 2017,,,,137,0% (0/0),0% (0/0),0% (0/0),reinsurance-group-of-america,"Reinsurance Group of America, Incorporated is a leader in the global life reinsurance industry with approximately $2.9 trillion of life reinsurance in force and assets of $39.7 billion. they are one of the largest life reinsurance companies in the world. They are the only global reinsurance company to focus primarily on life and health-related reinsurance solutions. Their core products and services include individual life reinsurance, individual living benefits reinsurance, group reinsurance, health reinsurance, financial solutions, facultative underwriting and product development. In 2013, they reviewed more than 580,000 facultative applications, more than any other life reinsurer in the world.",,https://www.crunchbase.com/organization/reinsurance-group-of-america#/entity,,
3OB6JN3A9RW8C5T0PSA7ACG6NLKMRW,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3VBEN272MM7N8UVLJGHIB1WPD8LSG0,ADLYO655RWJUI,Submitted,Thu Apr 06 08:32:54 PDT 2017,Thu Apr 06 08:33:32 PDT 2017,Fri Apr 07 08:33:32 PDT 2017,,,,38,0% (0/0),0% (0/0),0% (0/0),sealed-air-corporation,"Sealed Air Corporation creates a world that feels, tastes and works better. In 2013, the Company generated revenue of approximately $7.7 billion by helping our customers achieve their sustainability goals in the face of today‰Ûªs biggest social and environmental challenges. Our portfolio of widely recognized brands, including Cryovacå¨ brand food packaging solutions, Bubble Wrapå¨ brand cushioning and Diversey‰ã¢ cleaning and hygiene solutions, ensures a safer and less wasteful food supply chain, protects valuable goods shipped around the world, and improves health through clean environments. Sealed Air has approximately 25,000 employees who serve customers in 175 countries. To learn more, visit www.sealedair.com.",,https://www.crunchbase.com/organization/sealed-air-corporation,,
3LB1BGHFL33LM1V6CK3D4M4VKGVYTB,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3FE7TXL1LKVLGK81SX7OEXNNL1VQ2Q,A3OE4LKJ2ORFZS,Submitted,Thu Apr 06 08:32:44 PDT 2017,Thu Apr 06 08:33:41 PDT 2017,Fri Apr 07 08:33:41 PDT 2017,,,,57,100% (3/3),100% (3/3),100% (3/3),sonic-automotive,"Sonic Automotive, as a Fortune 500 company and member of the Russell 2000 Index, is among the largest automotive retailers in the United States. These dealerships provide comprehensive services, including sales of both new and used cars and light trucks, sales of replacement parts, performance of vehicle maintenance, warranty, paint and collision repair services, and arrangement of extended warranty contracts, financing and insurance for the company's customers.",,https://www.crunchbase.com/organization/sonic-automotive#/entity,,
3B623HUYJ5X5SVR9AG0TV4K7PIES82,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,339ANSOTR7A3G2O84V8J5RIVBR0KI3,ACGHHDT7RY1AH,Submitted,Thu Apr 06 08:31:27 PDT 2017,Thu Apr 06 08:33:06 PDT 2017,Fri Apr 07 08:33:06 PDT 2017,,,,99,0% (0/0),0% (0/0),0% (0/0),bacardi,{},on,https://www.crunchbase.com/organization/bacardi#/entity,,
3HJ1EVZS2PQ7QJLQJA5SED70NU43RY,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3YDTZAI2WZO72U37BW0X6BCDX30143,A3G8NSPRF986WP,Submitted,Thu Apr 06 08:39:25 PDT 2017,Thu Apr 06 08:40:06 PDT 2017,Fri Apr 07 08:40:06 PDT 2017,,,,41,0% (0/0),0% (0/0),0% (0/0),bd,{},on,{},,
3JTPR5MTZTJOHUVZ79KOSYJ66Y0K5B,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3DHE4R9OCYJU3VENP12CKJJLFEMG2L,A3F6SDO4GYBE4Y,Submitted,Thu Apr 06 08:32:40 PDT 2017,Thu Apr 06 08:33:53 PDT 2017,Fri Apr 07 08:33:53 PDT 2017,,,,73,0% (0/0),0% (0/0),0% (0/0),cadbury,"Cadbury is a global confectionery company with a portfolio of chocolate, gum, and candy brands. It covers more than 20 of the world's 50 largest confectionery markets.Cadbury‰Ûªs brands include many global, regional, and local products, including Cadbury, Creme Egg, and Flake and Green & Black's in chocolate; Trident, Clorets, Dentyne, Hollywood, Bubbaloo, and Stimorol in gum; and Halls, Cadbury Eclairs, and more in candy. It was founded in 1824 by John Cadbury.",,https://www.crunchbase.com/organization/cadbury#/entity,,
32LAQ1JNTAW45SB12J6O11YIOSKTU8,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,3X0H8UUIT3WJ5GLLYLL0X4ID7WBSWZ,A3OE4LKJ2ORFZS,Submitted,Thu Apr 06 08:34:47 PDT 2017,Thu Apr 06 08:40:41 PDT 2017,Fri Apr 07 08:40:41 PDT 2017,,,,354,100% (3/3),100% (3/3),100% (3/3),camel,{},on,https://www.crunchbase.com/product/camel#/entity,,
3XD2A6FGFO1560AJF867V0FI9OWS9R,3N0UI6O13VLJBAKBYYX46BJZXYMQQS,Copy/paste text from database ($0.1 for <1 min),"We will give you a company's name, and you will find the firm in a database, and copy/paste a URL and description.","data collection, branding, marketing",$0.10,Thu Apr 06 08:30:27 PDT 2017,1,BatchId:2755260;OriginalHitTemplateId:920937305;,600,86400,Thu Apr 13 08:30:27 PDT 2017,,,326O153BMK6JMRGCGVW5GZPDZPWDEA,A3OE4LKJ2ORFZS,Submitted,Thu Apr 06 08:32:55 PDT 2017,Thu Apr 06 08:37:23 PDT 2017,Fri Apr 07 08:37:23 PDT 2017,,,,268,100% (3/3),100% (3/3),100% (3/3),coach,"Coach gives you the tools & support needed to build your business, so you can create the life you want.",,https://www.crunchbase.com/organization/coach-test-prep#/entity,,
