name,about_us,source,cb_id,cb_desc
air-products--chemicals,,F500,air-products,"Air Products touches the lives of consumers around the globe in positive ways every day. With 18,900 employees and operations in more than 40 countries, they serve customers across a wide range of industries from food and beverage, health and personal care to energy, transportation and semiconductors. They supply a unique portfolio of atmospheric gases, process and specialty gases, performance materials, equipment and services."
airbnb,,BD,airbnb,"Airbnb is a community marketplace for people to list, discover and book unique spaces around the world through mobile phones or the internet. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to unique travel experiences at any price point, with [over 2M listings in 34K cities and 192 countries](https://www.airbnb.com/about/about-us).  With a growing community of users, Airbnb also provides an easy way for people to monetize their extra space and showcase it to an audience of millions.   Founded in August 2008, Airbnb has acquired several of its competitors, including [Accoleo](/organization/accoleo), [CrashPadder](/organization/crashpadder), [NabeWise](/organization/nabewise), and [Localmind](/organization/localmind).  Airbnb was founded in August 2008 by [Brian Chesky](/person/brian-chesky) and [Joe Gebbia](/person/joe-gebbia), and is currently headquartered in [San Francisco, California](http://www.crunchbase.com/location/san-francisco/528f5e3c90d111115d1c2e4ff979d58e), USA."
airgas,,F500,airgas-incorporated,"Airgas, Inc., headquartered in Radnor Township, Pennsylvania, through its subsidiaries, is the largest U.S. distributor of industrial, medical and specialty gases (delivered in packaged or cylinder form), and hardgoods (welding, safety and related products)."
allergan,,BD,allergan,"Allergan, is a multi-specialty health care company focused on discovering, developing and commercializing innovative pharmaceuticals, biologics and medical devices that enable people to live life to its greatest potential  to see more clearly, move more freely, express themselves more fully."
alphabet,,F500,alphabet,"Alphabet Inc. is the holding company for Google and several Google entities, including Google X, Google Ventures, Google Capital, Calico, and its Life Sciences efforts.   On Monday, August 10th, 2015, CEO Larry Page announced the operational restructuring effort for Alphabet Inc. to replace Google Inc. as the official publicly-traded entity. He announced that all shares of Google would automatically convert into the same number of shares of Alphabet, with all of the same rights. The two classes of shares will continue to trade on Nasdaq as GOOGL and GOOG."
amazon,,BD,amazon,"Amazon is an e-commerce retailer formed originally to provide consumers with products in two segments. It offers users with merchandise and content purchased for resale from vendors and those offered by third-party sellers.   Operating in North American and International markets, Amazon provides its services through websites such as amazon.com and amazon.ca. It also enables authors, musicians, filmmakers, app developers, and others to publish and sell content via its branded websites.   Amazon also provides Kindle Direct Publishing, an online platform that allows independent authors and publishers to make their books available in the Kindle Store. In addition, it provides co-branded credit card agreements and advertising services, serves developers and enterprises through Amazon Web Services, and manufactures and sells electronic devices.   It offers Amazon Prime which is an annual membership program. It provides free shipping, streaming, and access to books to borrow and read on a Kindle device.   Amazon was founded in 1994 and is headquartered in Seattle, Washington."
american-electric-power-company,,F500,american-electric-power,"American Electric Power has a strong tradition of leadership, service and contributions to the communities we serve.AEP's Mission: Bringing comfort to our customers, supporting business and commerce, and building strong communities."
american-financial-group,,F500,american-financial-group,"American Financial Group, Inc. (NYSE:AFG) is a holding company based in Cincinnati, Ohio and has been in business for more than fifty years. Our insurance roots go back to the 1800's with the founding of Great American Insurance Company in 1872. Today, through the operations of Great American Insurance Group, AFG is engaged primarily in property and casualty insurance (""P&C""), focusing on specialized commercial products for businesses, and in the sale of traditional fixed and fixed-indexed annuities. AFG's purpose is to enable individuals and businesses to manage financial risk using insurance products and services tailored to meet their specific and ever-changing risk exposures. AFG's strategy is to allocate capital to insurance operations which management believes offer a competitive advantage or unique opportunities.   AFG's insurance operations are conducted through Great American Insurance Group. The primary objective of our P&C operations is to achieve solid underwriting profitability while providing excellent service to its agents and policyholders. The P&C operations are primarily comprised of a highly diversified group of businesses offering a wide range of specialty commercial coverages and managed by specialists in particular lines of business or customer groups. The major product lines include inland and ocean marine, workers' compensation, agricultural-related products, executive and professional liability, fidelity and surety, collateral protection, umbrella and excess liability, excess and surplus and commercial automobile. This group writes business in all 50 states primarily through independent agents and brokers."
american-international-group,,F500,american-international-group,"AIG traces its roots to 1919, when American Cornelius Vander Starr established a general insurance agency, American Asiatic Underwriters, in Shanghai, China. Since then, an enterprising spirit, ingenuity, and tenacity have built the company into one of the world’s leading insurers. Today, AIG is focused on what it has been known for since the beginning: the willingness and ability to provide insurance coverage to meet the diverse needs of its clients.  American International Group, Inc. (AIG) is a leading international insurance organization serving customers in more than 130 countries. AIG companies serve commercial, institutional, and individual customers through one of the most extensive worldwide property-casualty networks of any insurer. In addition, AIG companies are leading providers of life insurance and retirement services in the United States."
amerisourcebergen,,BD,amerisourcebergen-corporation,"AmerisourceBergen Corporation is one of the world's largest pharmaceutical services companies serving global markets with a focus on the pharmaceutical supply chain. Servicing both pharmaceutical manufacturers and healthcare providers, the Company provides drug distribution and related services designed to reduce costs and improve patient outcomes.  Their scale, their position in the healthcare industry, and the value they bring to the channel have all helped their business continue to succeed.  Headquartered in Valley Forge, PA, AmerisourceBergen has locations around the world. In the US, we handle about 20% of all of the pharmaceuticals sold and distributed throughout the country.  They strive to take costs out of the healthcare system by using their scale and efficient operations to drive value for their customers. In addition to delivering pharmaceuticals on a just-in-time basis to tens of thousands of healthcare providers every day, they provide business support and consulting services to help their customers focus on their key strength—caring for patients.  AmerisourceBergen is committed to the safety and security of the nation’s pharmaceutical supply chain. They purchase all branded and generic pharmaceuticals only directly from the product’s manufacturer, except in the rare instance that they are required to do otherwise either by the manufacturer or a government agency."
amphenol-corporation,,F500,amphenol-corporation,"Amphenol Corporation (Amphenol) is a designer, manufacturer and marketer of electrical, electronic and fiber optic connectors, interconnect systems and coaxial and high-speed specialty cable. Amphenol designs and manufactures connectors and interconnect systems, which are used primarily to conduct electrical and optical signals for a range of electronic applications. It has developed a range of connector and interconnect products for information technology and communications equipment applications, including the converging voice, video and data communications markets. The Company offers a range of interconnect products for factory automation and motion control systems, machine tools, instrumentation and medical systems, mass transportation applications and automotive safety systems and a diverse range of on-board electronics. In addition, Amphenol is a supplier of high performance, military-specification, circular environmental connectors."
anadarko,,BD,anadarko-petroleum-corporation,"Anadarko is among the world’s largest independent oil and natural gas exploration and production companies, with corporate offices in The Woodlands, Texas. Our deep and balanced portfolio of assets encompasses premier positions in major U.S. onshore shale and resource plays, and oil-focused opportunities in deepwater basins worldwide.

 Each day, we are focused on our core values of integrity and trust, servant leadership, commercial focus, people and passion and open communication in all of our business activities. We are committed to our mission of delivering a competitive and sustainable rate of return to shareholders by exploring for, acquiring and developing oil and natural gas resources vital to the world's health and welfare. At Anadarko, we directly employ more than 6,000 men and women and we strive for excellence in all that we do. We know the best vision in the world will not be realized without the right people.

 At Anadarko, we set ambitious goals and take disciplined risks to achieve them. We need individuals who will take on this challenge. We’re planning for the future and looking for exceptional people to be part of it."
anthem,,BD,anthem-3,"ANTHEM sells brands without diminishing the intelligence that created them or the intelligence of the people who buy and use them. By paying attention to both, They have increased brand desirability for large and small companies—globally, regionally and locally.   Their 5 Transactions elevate and amplify your brand’s meaning and propels its growth. Anthem’s Brand Design focus, Retail-Forward strategies and Shelf-Out amplification moves your brand in the right direction."
apache,,BD,apache,"The Apache Software Foundation provides support for the Apache community of open-source software projects. The Apache projects are characterized by a collaborative, consensus based development process, an open and pragmatic software license, and a desire to create high quality software that leads the way in its field."
apple,,BD,apple,"Apple is a multinational corporation that designs, manufactures, and markets mobile communication and media devices, personal computers, portable digital music players, and sells a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications.   Apple provides many products and services, including iPhone; iPad; iPod; Mac; Apple TV; a portfolio of consumer and professional software applications; the iOS and OS X operating systems; iCloud; and accessories, service, and support offerings.    It sells its products worldwide through its retail stores, online stores, direct sales force and third-party cellular network carriers, wholesalers, retailers, and value-added resellers to the consumer and also sells third-party iPhone, iPad, Mac and iPod compatible products, including application software and accessories through its online and retail stores.   Introduced in 1984, the Macintosh was the first widely sold personal computer with a graphical user interface (GUI). That feature and others such as an improved floppy drive design and a low-cost hard drive that made data retrieval faster helped Apple cultivate a reputation for innovation.   Apple was named as the most admired company in the United States in 2008 and in the world from 2008 to 2012 by the Fortune magazine.   The company was founded by Steven Paul Jobs, Steve Wozniak, and Ronald Gerald Wayne on April 1, 1976, and is headquartered in Cupertino, California."
arrow-electronics,,BD,arrow-electronics,"Arrow Electronics, Inc. distributes a range of electronic components and enterprise computing products, services, and solutions to industrial and commercial users worldwide. The company operates in two segments, Global Components and Global Enterprise Computing Solutions. The Global Components segment offers semiconductor products and related services. It provides passive, electromechanical, and interconnect products comprising capacitors, resistors, potentiometers, power supplies, relays, switches, and connectors, as well as computing, memory, and other products. The Global Enterprise Computing Solutions segment offers enterprise and midrange computing products, services, and solutions to value-added resellers. It also offers access infrastructure, security, and virtualization software solutions, as well as midrange servers, storage, and software solutions. In addition, the company provides materials planning, design services, programming and assembly services, inventory management, and a suite of online supply chain tools. Its customers include the manufacturers of consumer and industrial equipment, telecommunication products, automotive and transportation, aerospace and defense, scientific and medical devices, and computer and office products. Arrow Electronics serves as a supply channel partner for approximately 900 suppliers and 125,000 original equipment manufacturers, contract manufacturers, and commercial customers. The company was founded in 1935 and is based in Melville, New York."
ashland,,F500,ashland-inc,"We strongly believe in the value produced by relationships, those created by our specialty chemicals and those that grow between one person and another. This is central to the difference we deliver. No matter the market or the country, we’re passionate about the possibilities created through good chemistry for the benefit of our customers, our communities and, ultimately, our planet.  This passion shows up in everything we touch: stronger and safer building materials made with polyester and vinyl ester resins; specialty coatings for food packaging that provide superior protection and preservation; biocides that enable more efficient and sustainable manufacturing; automotive lubricants and fluids that make vehicles perform better; wind turbine blades that get their shear strength from our structural acrylic adhesive, and even in environmentally friendly thickeners for paints that brighten homes the world over. Ultimately, it’s not just one but all of these great things, combined with great working relationships, that enable us to grow our customers’ businesses and our own.  In more than 100 countries, the people of Ashland provide the specialty chemicals, technologies and insights to help customers create new and improved products for today and sustainable solutions for tomorrow.  We are passionate about the possibilities created through good chemistry. We believe chemistry is about innovative, differentiated science – and also about the way people come together to solve problems. From the speed at which a call or an email is returned to the lengths we go to develop solutions that solve a specific customer need, good chemistry is what makes Ashland different and what makes us better. That’s why Ashland is one of the world’s leading specialty chemical companies."
avery-dennison-corporation,,F500,avery-dennison,"Avery Dennison Corporation (Avery Dennison), is engaged in the production of pressure-sensitive materials, and a variety of tickets, tags, labels other converted products, and office and consumer products through embossing, printing, stamping and die-cutting. The Company operates in two segments: Pressure-sensitive Materials and Retail Branding and Information Solutions. In addition to its reportable segments, the Company has other specialty converting businesses comprised of Vancive Medical Technologies (Vancive) and Designed and Engineered Solutions (DES). Some are sold by the Company in converted form as printable media, tapes and reflective sheeting. In July 2013, Avery Dennison Corp completed the sale of its Office and Consumer Products and Designed and Engineered Solutions businesses to CCL Industries Inc."
avis-budget-group,,BD,avis-budget-group,"Avis Budget Group, Inc. (Avis Budget) operates two brands in the global vehicle rental industry through Avis and Budget. Avis is a rental car supplier positioned to serve the commercial and leisure segments of the travel industry and Budget is a rental car supplier focused primarily on more value-conscious segments of the industry. It operates in three segments: North America, consisting of its Avis and Budget car rental operations in the United States and its Avis and Budget vehicle rental operations in Canada; International, consisting of its Avis and Budget vehicle rental operations in Europe, the Middle East, Asia, Africa, South America, central America, the Caribbean, Australia and New Zealand, and Truck Rental, consisting of its Budget truck rental operations in the United States. On October 3, 2011, the Company acquired Avis Europe plc. In July 2013, Avis Budget Group Inc acquired Payless Car Rental. `"
avnet,,F500,avnet,"Avnet, Inc. (NYSE:AVT) is one of the largest distributors of electronic components, computer products and embedded technology serving customers in more than 70 countries worldwide. Avnet accelerates its partners' success by connecting the world's leading technology suppliers with a broad base of more than 100,000 customers by providing cost-effective, value-added services and solutions. For the fiscal year ended June 27, 2009, Avnet generated revenue of US $16.23 billion."
avon,,BD,avon,"Avon, the company for women, is a leading global beauty company, with nearly $11 billion in annual revenue.  As one of the world's largest direct sellers, Avon is sold through more than 6 million active independent Avon Sales Representatives.  Avon products are available in over 100 countries, and the product line includes color cosmetics, skincare, fragrance, fashion and home products, featuring such well-recognized brand names as Avon Color, ANEW, Skin-So-Soft, Advance Techniques, and mark.  Learn more about Avon and its products at www.avoncompany.com.  Avon has a proven history of delivering first-to-market beauty technologies, making the company a perennial game-changer. Time and again, Avon and its global team of scientists have led the industry in giving consumers breakthrough products that marry beauty and innovation. Light-adjusting makeup, more durable mascara, better-hydrating lipstick, revolutionary anti-aging skincare products, and an at-home alternative to pricey in-salon smoothing treatments. The list goes on and on. Simply put, Avon gives women around the globe products that help them look and feel their best -- in fact, two out of five women worldwide purchased an Avon product in the last year."
baker-hughes,,BD,baker-hughes,"A top-tier oilfield service company with a century-long track record, Baker Hughes delivers solutions that help oil and gas operators make the most of their reservoirs.  Baker Hughes is a leading supplier of oilfield services, products, technology and systems to the worldwide oil and natural gas industry. The company’s 60,000 employees today work in more than 80 countries helping customers find, evaluate, drill, produce, transport and process hydrocarbon resources."
ball-corp,,BD,ball-corporation-altrista,"Ball Corporation is a provider of metal packaging for beverages, foods and household products, and of aerospace and other technologies and services to commercial and governmental customers. Founded in 1880, the company employs more than 15,000 people in more than 90 locations worldwide. Ball Corporation stock is traded on the New York Stock Exchange under the ticker symbol BLL."
barnes-noble,,F500,barnes-noble,"Barnes & Noble is a multi-channel distribution platform that provides access to trade books, textbooks, magazines, newspapers, and other content. It operates as a content, commerce, and technology company.     Barnes & Noble’s main business is the sale of trade books, mass-market paperbacks, children's books, bargain books, magazines, gift, cafe products and services, music, and movies direct to customers. As of January 2009, the company operated 778 bookstores and a website.     Barnes & Noble was founded in 1917 by [Leonard Riggio](http://www.crunchbase.com/person/leonard-riggio). It is headquartered in New York, N.Y."
baxalta-incorporated,,F500,baxalta,"Baxalta Incorporated (Baxalta) is a biopharmaceutical company with a portfolio of differentiated therapies that seek to address medical needs across various disease areas, including hemophilia, immunology and oncology"
baxter-international,,F500,baxter-international,"Baxter International Inc. develops, manufactures, and markets products for people with hemophilia, immune disorders, infectious diseases, kidney disease, trauma, and other chronic and acute medical conditions.  The company operates through three segments: BioScience, Medication Delivery, and Renal. - The BioScience segment manufactures recombinant and plasma-based proteins to treat hemophilia and other bleeding disorders; plasma-based therapies to treat immune deficiencies, alpha 1-antitrypsin deficiency, burns and shock, and other chronic and acute blood-related conditions; products for regenerative medicine, such as biosurgery products and technologies used in adult stem-cell therapies; and vaccines. - The Medication Delivery segment manufactures intravenous solutions and administration sets; premixed drugs and drug-reconstitution systems; pre-filled vials and syringes for injectable drugs, intravenous nutrition products; infusion pumps; and inhalation anesthetics. This segment also offers products and services related to pharmacy compounding, drug formulation, and packaging technologies. - The Renal segment provides products to treat end-stage renal disease and irreversible kidney failure. This segment also offers solutions and other products for peritoneal dialysis, a home-based therapy and product for hemodialysis, which is conducted in a hospital or clinic.  Baxter International Inc. has collaborations with HHD LLC, DEKA Products Limited Partnership, and DEKA Research and Development Corp. for the development of a home hemodialysis machine. It markets its products to hospitals, kidney dialysis centers, nursing homes, rehabilitation centers, doctors offices, clinical and medical research laboratories, and patients at home under physician supervision.  The company was founded in 1931 and is headquartered in Deerfield, Illinois."
berkshire-hathaway,,BD,berkshire,"Berkshire Group is a real estate investment management company distinguished by over four decades in the U.S. real estate markets, an integrated investment and operating platform, an experienced team, and an opportunistic approach to finding value on behalf of institutional investment clients, including pension funds, endowments and foundations, in the U.S. and around the world."
biogen-idec-inc,,BD,biogen-idec,"Biogen Idec uses cutting-edge science to discover, develop, manufacture and market biological products for the treatment of serious diseases with a focus on neurological disorders.   Founded in 1978, Biogen Idec is the world's oldest independent biotechnology company. Patients worldwide benefit from its leading multiple sclerosis therapies, and the company generates more than $4 billion in annual revenues."
blackstone,,BD,blackstone-technology-group,"Blackstone Technology Group provides software and services that create high throughput computing environments. Blackstone helps customers speed time-to-market by designing and optimizing infrastructures for high user productivity, low administrative burden, and low ownership cost.  Blackstone accomplishes these goals with Consultants who have  expertise in the applications and process methodologies, as well as in the design and optimization of large-scale, high-throughput computing environments; and Software products that simplify usage and administration of the environment, as well as maximize computing throughput and architecture scalability."
bnsf-railway,,BD,bnsf-railway-company,"BNSF is a critical link that connects consumers with the global marketplace. For more than 160 years, BNSF has played a vital role in building and sustaining this nation's economy."
boston-scientific-corp,,BD,boston-scientific,"Boston Scientific is a leading innovator of medical solutions that improve the health of patients around the world. Boston Scientific's products and technologies are used to diagnose or treat a wide range of medical conditions, including heart, digestive, pulmonary, vascular, urological, women's health and chronic pain conditions.   Boston Scientific's journey of innovation began in 1979, when their revolutionary steerable catheters were first used in less-invasive procedures. Today, Boston Scientific continues their legacy of delivering meaningful innovation to meet patient needs around the world and deliver economic value to their customers.   Boston Scientific has advanced the practice of less-invasive medicine by providing a broad and deep portfolio of innovative products, technologies and services across a wide range of medical specialties. These less-invasive medical technologies provide alternatives to major surgery and other medical procedures that are typically traumatic to the body. In less-invasive procedures, devices are usually inserted into the body through natural openings or small incisions and can be guided to most areas of the anatomy to diagnose and treat a wide range of medical problems.   Boston Scientific continues to innovate in these areas and are extending their innovations into new geographies and high-growth adjacency markets. Boston Scientific is dedicated to transforming lives through innovative medical solutions that improve the health of patients around the world.   Boston Scientific acts with integrity and compassion to support patients, customers, our communities and each other. Boston Scientific fosters an environment of creativity to transform new ideas into breakthrough services and solutions that create value for patients, customers and employees.   Boston Scientific strives for high performance to benefit their patients, clinicians and shareholders and they work collaboratively to pursue global opportunities that extend the reach of their medical solutions."
bristol-myers-squibb,,BD,bristol-myers-squibb,"Bristol-Myers Squibb Company, through its subsidiaries, engages in the discovery, development, licensing, manufacturing, marketing, distribution and sale of pharmaceuticals and nutritional products.   The company operates in two segments, Pharmaceuticals and Nutritionals. - The Nutritionals segment is operated through the company's subsidiary Mead Johnson Nutrition Company (Mead Johnson).  - The Pharmaceuticals segment is made up of the global pharmaceutical and international consumer medicines business."
broadcom,,BD,broadcom,"Broadcom is a fabless semiconductor company that provides a broad portfolio of system-on-a-chip solutions. It offers both traditional and wireless workplaces with network switches that bring 802.11 ac Wi-Fi.

The company designs and develops its products in labs and design centers around the world, and then works with independent chip-making facilities to manufacture nearly two billion chips annually. Its product categories include broadband access and modems, enterprise and network processors, Ethernet communication and switching, set-top box and media processors, wireless infrastructure, and wireless connectivity.

Its global customer roster includes technology brands such as Apple, Cisco, Dell, DirectTV, Huawei, Samsung, ZTE, and more.

Broadcom was founded in 1991 by Leo Joseph and is based in Irvine, California with offices in cities around the world, including research and development facilities in North America, Asia, and EMEA."
cabelas-inc,,BD,cabelas,"Cabela's Inc. is a direct marketer and specialty retailer of hunting, fishing, camping, shooting, and related outdoor recreation merchandise."
cablevision-systems-corporation,,F500,cablevision-systems,"Cablevision Systems Corporation is a telecommunications, media and entertainment company. Cablevision's portfolio of operations includes a full suite of advanced digital television, voice and high-speed Internet services, publishing and interactive media, world-renowned entertainment showplaces, professional sports teams, and popular national and regional programming networks."
cadillac,,BD,cadillac,"Cadillac is an automobile brand that produces and markets luxury vehicles worldwide.    Cadillac was founded by William Murphy, Lemuel Bowen, and Henry M. Leland in 1902 and is currently headquartered in New York, United States."
calpine-corporation,,F500,calpine,"Calpine Corporation is America’s largest generator of electricity from natural gas and geothermal resources. Their fleet of 84 power plants in operation or under construction represents more than 27,000 megawatts of generation capacity. Through wholesale power operations and their retail business, Champion Energy, they serve customers in 21 states and Canada. They specialize in developing, constructing, owning and operating natural gas-fired and renewable geothermal power plants that use advanced technologies to generate power in a low-carbon and environmentally responsible manner. Their clean, efficient, modern and flexible fleet is uniquely positioned to benefit from the secular trends affecting their industry, including the abundant and affordable supply of clean natural gas, stricter environmental regulation, aging power generation infrastructure and the increasing need for dispatchable power plants to successfully integrate intermittent renewables into the grid."
calvin-klein,,BD,calvin-klein,"Calvin Klein, Inc., a wholly owned subsidiary of PVH Corp., is one of the leading fashion design and marketing studios in the world. It designs and markets women’s and men’s designer collection apparel and a range of other products that are manufactured and marketed through an extensive network of licensing agreements and other arrangements worldwide. Product lines under the various Calvin Klein brands include women’s dresses and suits, men's dress furnishings and tailored clothing, men’s and women's sportswear and bridge and collection apparel, golf apparel, jeanswear, underwear, fragrances, eyewear, women’s performance apparel, hosiery, socks, footwear, swimwear, jewelry, watches, outerwear, handbags, small leather goods, and home furnishings"
