id,label
quintiles-transnational-holdings,0
qvc,3
rackspace,5
ralph-lauren,5
ramada,5
raymond-james,0
raytheon,0
realogy-holdings-corp,0
regions,0
reinsurance-group-of-america,5
reliance-steel-aluminum-co,5
republic-services,0
reynolds-american,5
rite-aid-corporation,3
rockwell-automation,0
ross-dress-for-less,5
royal-caribbean-cruises,5
rr-donnelley-and-sons-co,0
ryder-system,0
sabre,0
safeway,0
salesforce,2
sams-club,0
samsung,5
sandisk,0
sanmina-corporation,2
santander,5
sap,2
schlumberger,0
seaboard-corporation,0
seagate,0
sealed-air-corporation,0
sears-holdings-corporation,0
seiyu,2
sempra-energy,0
sheraton,1
sherwin-williams,5
siemens,0
simon-property-group,5
sirius,0
skechers,0
snap-on-inc,0
sonic-automotive,5
sony,0
southern-company,5
southwest,0
spartannash-company,0
spectra-energy-corp,2
spectrum,0
spirit-aerosystems-holdings,5
sprint,5
sprite,2
st-jude-medical,0
stanley-black--decker,0
staples,0
starbucks,3
starwood-hotels--resorts-worldwide,5
state-farm-insurance-cos,0
state-street,1
steel-dynamics,0
stryker,0
subway,0
sun-america,0
sunoco,5
suntrust,0
supervalu,0
symantec,0
synnex-corporation,5
sysco,5
taco-bell,3
targa-resources-corp,0
tata-consultancy-services,0
teachers-insurance-and-annuity-association,5
tech-data,0
tech-mahindra,5
telephone-and-data-systems,1
tenet-healthcare-corp,2
tenneco,0
teradata,0
terex-corporation,0
tesla,3
tesoro-corporation,3
texas-instruments,0
textron,0
the-bank-of-new-york-mellon,0
the-hartford,3
the-home-depot,4
the-north-face,4
thermo-fisher-scientific,0
thomson-reuters,0
thrivent-financial-for-lutherans,0
tiffany-co,5
timberland,1
time-inc,0
time-warner-cable,5
tjx,0
tommy-hilfiger,0
toyota,1
toys-r-us,0
tracfone,0
tractor-supply,5
travelcenters-of-america-llc,3
travelers,0
treehouse-foods,1
trident,2
trinity-industries,0
tripadvisor,1
tropicana-beverages,5
twitter,3
tyson,2
ugi-corporation,2
ulta-salon-cosmetics,5
under-armour,2
union-pacific,3
united,0
united-technologies,0
unitedhealth,0
univar,0
universal-health-services,0
universal-music-group,1
unum-group,5
upc,3
ups,3
us-bank,0
us-foods-holding-corp,3
valero,1
veritiv-corp,0
verizon,0
vf-corporation,3
victorias-secret,5
visa,5
visteon-corporation,2
vmware,0
volkswagen,3
voya-financial,5
walgreens,0
walmart,0
warner-bros,1
washington-post,0
waste-management,5
wec-energy-group,0
wellcare-health-plans,0
wells-fargo,4
welltower-inc,0
wesco-international,3
western-digital,1
western-refining,5
western-union,0
westin,5
westrock-company,0
weyerhaeuser,0
whirlpool,5
whole-foods,1
williams,5
windstream,5
wipro,3
workday,5
world-fuel-services-corporation,5
wrigleys,0
ww-grainger-inc,0
wyndham,0
wynn-resorts,5
xbox,5
xcel-energy-inc,0
xerox,0
xfinity,0
xpo-logistics,0
yahoo,0
yoplait,5
youtube,5
yum-brands,2
zara,0
zimmer,5
cvs,0
ebay,0
google,0
holiday-inn,1
honeywell,0
itw,5
jm-smucker,5
microsoft,0
nbc,3
p-and-g,2
paypal,0
pepsi,0
sundown,2
target,1
uber,4
amphenol-corporation,0
chevron,1
carmax,0
carnival,0
ciel,2
