"name","web_url","desc"
"adidas","http://www.adidas-group.com","At the adidas Group, our love for sport drives who we are and what we do. Every day.     The brands of the adidas Group complement each other in a unique way to help athletes perform better, play better, feel better. Our products break records, set trends, make history. Every day. All over the world. Welcome to the adidas Group.    It is not only about faster shoes and fashion statements. Just as a shoe is more than padding and foam, there is more to us than just the product. Everything we do is bound by one simple thought: we strive to help you perform at your best. Your success is our ambition. Your defeat spurs us on to be better.    Our brands complement each other like the skills of an exceptionally gifted decathlete.    Our consumers' brand love is based on our employees' extraordinary passion for a sporting lifestyle. With dedication, commitment and team spirit, we continuously innovate to establish new benchmarks in everything we do. Shaping the sporting goods industry sustainably is more than a job. It's our impulse, an attitude that is truly dear to our hearts. It drives us.      Employing more than 55,000 people in over 160 countries, we produce more than 778 million product units every year and generate sales of __ 17 billion (all figures relate to 2015). These numbers alone can easily suggest that our Group is quite a complex organisation. True. But we keep things simple, lean and fast. And we will use this approach now to tell you what our company is all about. Ready ... set, go.    We embrace a multi-brand strategy    We think you deserve choice. We believe no one should be reduced to just one of many facets and talents. No matter whether you are an athlete looking for the best equipment, or a fashionista searching for the next trend, or both  _ we want to engage with you in a long-lasting relationship. Our multi-brand strategy enables us to do just that because it allows us to tackle opportunities from several perspectives, as both a mass and a niche player, always providing distinct and relevant products. In this way, our brands and their sub-brands all keep their unique identity."
"adp","https://www.adp.com/","From our first account in Paterson, N.J., to the more than 650,000 clients we serve in more than 110 countries, ADP helps organizations of all types and sizes unlock their business potential. For 60 years, we've led the way in defining the future of business outsourcing solutions. And we remain one of the world's most innovative, diverse and admired companies to work for today.    We are a comprehensive global provider of cloud-based Human Capital Management (HCM) solutions that unite HR, payroll, talent, time, tax and benefits administration, and a leader in business outsourcing services, analytics and compliance expertise. Our unmatched experience, deep insights, and cutting-edge technology have transformed human resources from a back-office administrative function to a strategic business advantage."
"aecom-technology","http://www.aecom.com/","We are a global network of experts working with clients, communities and colleagues to develop and implement innovative solutions to the world's most complex challenges.  We connect expertise across services, markets, and geographies to deliver transformative outcomes. Worldwide, we design, build, finance, operate and manage projects and programs that unlock opportunities, protect our environment and improve people's lives.  We are AECOM. Built to deliver a better world."
"aes","http://www.aessuccess.org/","American Education Services (AES) was established by the Pennsylvania Higher Education Assistance Agency (PHEAA) to guarantee and service a variety of Federal Family Education Loan Program (FFELP) and private (alternative) student loan products for our lending partners through out the nation. PHEAA conducts its student loan servicing activities nationally as AES and FedLoan Servicing.    AES is a national leader in providing quality customer service to millions of student loan borrowers through its highly trained and experienced customer service representatives."
"aetna","https://www.aetna.com/","As a health care leader, we believe that our corporate responsibility starts with helping people live healthier lives. And that means using our resources to make the communities and world we live in better places.    We are committed to reducing our carbon footprint. Recycling programs, reducing energy use and using sustainable building practices are part of our robust efforts to create a healthier environment.    To us, a better health care system starts with a simpler process, one that lets you see behind the scenes -- to find out what a procedure costs before you get it, for example.    A better health care system is about more than saving money, of course. It's about keeping you healthy. We're working with doctors, hospitals and health networks to align the economic incentives so everyone's focus stays on your health.    Finally, we think a better system is one that is connected. The right technology connects you and your health care team seamlessly. And it puts valuable information where it needs to be so you get the right care at the right time.    Everything we do at Aetna starts with our values -- a clear, strongly held set of core beliefs that reflect who we are and what you can expect from us. We created our core values together, as a company and with guidance from our customers. Our values carry through our thoughts and actions every day, inspire innovation in our products and services, and drive our commitment to excellence in all we do.    Integrity  _ Do the right thing for the right reason.  Excellence  _ We strive to deliver the highest quality and value possible through simple, easy and relevant solutions.  Caring  _ We listen to and respect our customers and each other so we can act with insight, understanding and compassion.  Inspiration  _ We inspire each other to explore ideas that can make the world a better place."
"aflac","https://www.aflac.com/","A Fortune 500 company that provides financial protection to more than 50 million people worldwide. When health changes for you or  loved one, it can change everything. Aflac can help make sure you can keep living the life you love. Aflac pays you and your family money for the expenses that major medical doesn't cover. Also employers can build a comprehensive health care benefits package with increasing costs, and brokers can offer clients better benefit options with Aflac supplemental insurance policies."
"agco-corporation","http://www.agcocorp.com","We are a global leader in the design, manufacture and distribution of agricultural solutions. We work tirelessly to help make today's farms more productive and more profitable. As the world of agriculture changes, so do we. Brazenly. We do it for the farmers. For the people working for them. For ourselves. For the future. We are Leading the Way.    Making machines and equipment that respond to the world's ever-changing demands for food and fuel is what AGCO innovation is all about. Hybrids, telemetry-based tracking systems, flexible technologies that respond to regional farming variances and so much more. The future is happening now. And AGCO is at the forefront of it."
"aig","http://www.aig.com/","Innovation doesn't grow in a box. But it does thrive in safe places. At AIG, we provide the safety that gives companies and individuals the freedom to grow. We work to pinpoint risks and prevent them from becoming losses so our clients are free to create the future; we help our clients identify unseen risks--and stop accidents before they happen.  For nearly one hundred years, our organization has faced and managed complex risks; and provided the risk expertise and financial strength that empowers 90 million clients in more than 100 countries. Today, our organization is evolving to better meet our clients' needs.  We're simplifying our structure so that we work more closely with clients, provide greater transparency, and deliver value faster and more efficiently. As One AIG, we're becoming leaner, more focused, and more profitable. We recognize the constant need for change, and we're up to the challenge.  The world is changing faster than ever. What was true yesterday may not be true tomorrow. But with AIG's risk expertise, you'll be more prepared, with less fear for the future. We're ready to help you seize new opportunities."
"air-products--chemicals","http://www.airproducts.com/","Air Products touches the lives of consumers around the globe in positive ways every day. With approximately 16,000 employees and operations in 50 countries, we serve customers across a wide range of industries from food and beverage to medical, energy and transportation. We supply a unique portfolio of atmospheric and process gases, equipment and services.Founded in 1940, Air Products has built a reputation for its innovative culture, operational excellence and commitment to safety and the environment. Our aim is to develop lasting relationships with our customers and communities based on human qualities: understanding their needs, doing business with integrity and honesty, and demonstrating a passion for exceeding expectations."
"airbnb","https://www.airbnb.com/","Founded in August of 2008 and based in San Francisco, California, Airbnb is a trusted community marketplace for people to list, discover, and book unique accommodations around the world -- online or from a mobile phone or tablet.    Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to unique travel experiences, at any price point, in more than 65,000 cities and 191 countries. And with world-class customer service and a growing community of users, Airbnb is the easiest way for people to monetize their extra space and showcase it to an audience of millions."
"airgas","https://www.airgas.com/","Airgas, an Air Liquide company, is the nation's leading single-source supplier of gases, welding equipment and supplies, and safety products. With more than one million customers, Airgas excels at providing customers, large and small.  Airgas is committed to minimizing its impact on the environment and maximizing its involvement in the community, with initiatives to improve our fleet fuel efficiency, lower our electricity consumption and help our refrigerant gas customers recycle this valuable resource.    In addition to many local community service activities, Airgas pursues a number of company-wide endeavors, including our ongoing support of Operation Homefront, a non-profit organization that supports America's military service members."
"ak-steel-holding-corporation","http://www.aksteel.com","Create innovative steel products and processes that surpass our customers' needs today and for the future. Our AK Steel team creates innovative, high quality steel solutions for our customers in a safe, responsible and profitable manner.At AK Steel, our key values of safety, quality, productivity and innovation are the foundation of our business as we work to fulfill our mission of operating in a safe, responsible and profitable manner.    Safety  AK Steel consistently outperforms the steel industry safety average by a wide margin. Our approach to safety is more than a business objective; it is part of our operating culture. It is the foundation of all we do, because what matters most is having our employees end their shifts as safely as they started them."
"akamai-technologies","https://www.akamai.com/","Akamai is the global leader in Content Delivery Network (CDN) services, making the Internet fast, reliable and secure for its customers. The company's advanced web performance, mobile performance, cloud security and media delivery solutions are revolutionizing how businesses optimize consumer, enterprise and entertainment experiences for any device, anywhere."
"alaska-air-group","https://www.alaskaair.com/","Our objective is to be one of the most respected U.S. airlines by our customers, employees, and shareholders. We believe our success depends on our ability to provide safe air transportation, develop relationships with customers by providing exceptional customer service and low fares, and maintain a competitive cost structure to compete effectively. It is important to us that we achieve our objective as a socially responsible company that values not just our performance, but also our people, our community, and our environment.  Alaska Airlines' commitment to caring for our customers, our communities, our environment, and each other is a fundamental part of who we are and what we do."
"alcoa","https://www.alcoa.com","Since the dawn of the aluminum industry, the name Alcoa has been synonymous with operational excellence and leadership in the production of Bauxite, Alumina and Aluminum products. We invented the aluminum industry in 1888 and we continue to innovate with new technologies and processes."
"allergan","https://www.allergan.com/","Allergan is an industry leader in Open Science, the Company's R&D model, which defines our approach to identifying and developing game-changing ideas and innovation for better patient care. This approach has led to Allergan building one of the broadest development pipelines in the pharmaceutical industry with 70+ mid-to-late stage pipeline programs in development."
"alliance-data-systems-corp","https://www.alliancedata.com/","You might not know our name, but you've seen what we do. Alliance Data is the engine behind loyalty and marketing campaigns for more than 1,000 consumer-facing companies worldwide across all industries: retail, travel, pharmaceutical, financial services, auto, and more."
"allianz","https://www.allianzlife.com/","Allianz Life Insurance Company of North America (Allianz) is a leading provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.    Since 1896, we've had the strength and stability to fulfill our promises. Through bull markets and bear markets, we've stayed true to our careful planning, disciplined investing, and risk management expertise. That's why we're well positioned for what's ahead."
"allstate","https://www.allstate.com/","The Allstate Corporation is the largest publicly held personal lines property and casualty insurer in America, serving more than 16 million households nationwide. Founded in 1931, Allstate has been dedicated to protecting our customers from life's uncertainties and preparing them for the future for more than 85 years.    Allstate became a publicly traded company in 1993, and is listed on the New York Stock Exchange under the trading symbol ALL. As of year-end 2015, Allstate had nearly $104.7 billion in total assets. Allstate's best-in-class products and services help provide innovative protection and retirement solutions to more than 16 million households nationwide. Our evolving business strategies and solutions continue to reinvent the industry standards, helping our customers better protect what they have today and prepare for a brighter tomorrow."
"ally-financial","https://www.ally.com","We're changing the online banking landscape with innovative digital experiences, 24/7 customer service, great rates and rewarding credit and lending products. As one of the largest auto financing companies in the country, our extensive experience and unmatched suite of products and services make us a preferred financing provider in the U.S.    We're creating financial services that actually serve.  Our teammates are committed to developing award-winning technology and services that make your life easier, products that are never status quo and diverse thinking that inspires new ideas.  We have a fierce commitment to:  Do Right. Sincere respect for each other, our customers and communities we serve. Do for others what we expect of ourselves, with a collective desire to improve things and a genuine understanding of what really matters to customers.  Obsess Over the Customer. Fierce dedication to putting our customers at the center of everything we do. Driven to ensure that every interaction is extraordinary, with our sole focus being what's best for our customers and their financial well-being.  Tirelessly Innovate. Constantly creating and reinventing with the singular purpose of making a real difference for our customers.    Delivering on our commitment requires us to work with integrity, be accountable to one another and LEAD in the workplace  _ and in the community. That's what it means to be an ally."
"alphabet","https://abc.xyz/","What is Alphabet? Alphabet is mostly a collection of companies. The largest of which, of course, is Google. This newer Google is a bit slimmed down, with the companies that are pretty far afield of our main internet products contained in Alphabet instead. What do we mean by far afield? Good examples are our health efforts: Life Sciences (that works on the glucose-sensing contact lens), and Calico (focused on longevity). Fundamentally, we believe this allows us more management scale, as we can run things independently that aren't very related.    Alphabet is about businesses prospering through strong leaders and independence. In general, our model is to have a strong CEO who runs each business, with Sergey and me in service to them as needed. We will rigorously handle capital allocation and work to make sure each business is executing well. We'll also make sure we have a great CEO for each business, and we'll determine their compensation. In addition, with this new structure we plan to implement segment reporting for our Q4 results, where Google financials will be provided separately than those for the rest of Alphabet businesses as a whole."
"altria-group","http://www.altria.com/Pages/default.aspx","Our Mission is to own and develop financially disciplined businesses that are leaders in responsibly providing adult tobacco and wine consumers with superior branded products. In pursuing our Mission, we have established the following goals for Altria Group and its companies:"
"ameren-corporation","https://www.ameren.com","Ameren Corporation is an American power company created December 31, 1997 by the merger of Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP).[4] It is now a holding company for several power companies and energy companies. The company is based in St. Louis, Missouri, serving 2.4 million electric, and 900,000 natural gas customers across 64,000 square miles"
"american-airlines","https://www.aa.com/","On April 15, 1926, Charles Lindbergh flew the first American Airlines flight  _ carrying U.S. mail from St. Louis, Missouri, to Chicago, Illinois. After 8 years of mail routes, the airline began to form into what it is today. American founder C.R. Smith worked with Donald Douglas to create the DC-3; a plane that changed the entire airline industry, switching revenue sources from mail to passengers.    Together with regional partner American Eagle, we offer an average of nearly 6,700 flights daily to 350 destinations in 50 countries. We're a founding member of the oneworld alliance, whose members and members-elect offer nearly 14,250 flights daily to 1,000 destinations in 150 countries."
"american-electric-power-company","https://www.aep.com/","American Electric Power has a strong tradition of leadership, service and contributions to the communities we serve.    AEP's Mission: Together, with our customers, we are redefining the future of energy and developing innovative solutions that power communities and improve lives.    AEP's Vision: Powering a new and brighter future for our customers and communities."
"american-express","https://www.americanexpress.com/","Each day, American Express makes it easier, safer and more rewarding for consumers and businesses to purchase the things they need    The American Express cardand for merchants to sell their goods and services. An engine of commerce, American Express provides innovative payment, travel and expense management solutions for individuals and businesses of all sizes. Most of all, we help our customers realize their dreams and aspirations through industry-leading benefits, access to unique experiences, business-building insights, and global customer care. We enable our customers to do more and achieve more."
"american-family-insurance-group","https://www.amfam.com/","Our Mission  To inspire, protect and restore your dreams. Because we believe a dream is the most valuable thing you'll ever own.    Our Values  Employee-focused, customer-driven. Our commitment to you is to be innovative, caring, agile, trustworthy, transparent, and above all else, passionate."
"american-financial-group","http://www.afginc.com/","With the power of generations behind it, AFG grows and changes with discipline and integrity. We're proud of who we are, where we've been and where we're going. Our industry is changing and we continue to change as well. We strive to continue to build value for our shareholders, provide quality products and service to our customers and offer a rewarding work environment for our employees    American Financial Group is committed to strong and effective corporate governance. ""Integrity in All We Do"" is one of our core values. We believe that strong principles and the highest standards of ethical conduct are critical to securing investor trust and confidence."
"ameriprise-financial","https://www.ameriprise.com","Integrity has been a core value since we were founded by John Tappan in 1894. It's how, through panics, recessions, the Great Depression and the recent Great Recession, we've grown into a global financial leader. We've never taken a bailout. Never lost our focus on our clients. That's who we are.    We have more than $800 billion in assets under management and administration.1  We maintain leadership positions in each of our core business segments: Advice & Wealth Management, Asset Management, Annuities and Protection.2  We have more financial planning clients than any other firm.3"
"amerisourcebergen","http://www.amerisourcebergen.com/","AmerisourceBergen is driving innovative partnerships with global manufacturers, providers and pharmacies to improve product access and efficiency throughout the healthcare supply chain. As part of the largest global generics purchasing organization, the leading specialty pharmaceutical services provider and the partner with more community and health system pharmacy relationships than any other--we're well positioned to help you capitalize on the dynamic changes in healthcare. From product commercialization and distribution to pharmacy, provider and manufacturer solutions, we're working with you every day to enhance patient care.    Our company's mission is to improve our patients' lives by delivering innovative services and solutions that drive quality and efficiency in healthcare. As we live out this mission, we continually seek to integrate sustainability and social responsibility principles into our daily actions.    AmerisourceBergen: Where knowledge, reach and partnership shape healthcare delivery."
"amgen","http://www.amgen.com/","Amgen is one of the world's leading biotechnology companies. Amgen is a values-based company, deeply rooted in science and innovation to transform new ideas and discoveries into medicines for patients with serious illnesses."
"amphenol-corporation","https://www.amphenol.com/","Amphenol is one of the largest manufacturers of interconnect products in the world. The Company designs, manufactures and markets electrical, electronic and fiber optic connectors, coaxial and flat-ribbon cable, and interconnect systems.    The primary end markets for the Company's products are communications and information processing markets, including cable television, cellular telephone and data communication and information processing systems; aerospace and military electronics; and automotive, rail and other transportation and industrial applications."
"anadarko","http://www.anadarko.com/","Anadarko's mission is to deliver a competitive and sustainable rate of return to shareholders by developing, acquiring and exploring for oil and natural gas resources vital to the world's health and welfare.    We view sustainability as integral to continuing to fulfill our corporate mission. Anadarko is committed to operating in a sustainable manner and proactively working with the communities where we operate on a daily basis around the world. As Anadarko employees, we work in our core areas of operations, and we live there too. We recognize our obligation to protect our environment, public health and our communities, while finding and producing the vital oil and natural gas resources that fuel modern life.     We achieve sustainability by living our core values of integrity and trust, servant leadership, open communication, people and passion, and commercial focus, all of which guide our activities and decisions."
"anixter-international","https://www.anixter.com/","At Anixter, we enable the connected world. From securer facilities and communities, to more efficient networks and industrial environments, we deliver the infrastructure solutions--and intelligence--that sustain your business. Through our superior product offerings, unmatched global distribution network, expert supply chain management and technical know-how, we drive efficiency and effectiveness to benefit your bottom line.    Anixter is a leading global supplier of communications and security products and electrical and electronic wire and cable. Anixter helps its customers specify solutions and make informed purchasing decisions around technologies, applications and relevant standards."
"anthem","https://www.anthem.com/","At Anthem Blue Cross and Blue Shield we understand our health connects us to each other. What we all do impacts those around us. So Anthem is dedicated to delivering better care to our members, providing greater value to our customers and helping improve the health of our communities.In the changing landscape of health care, one thing remains a constant--the importance of putting the consumer first. At Anthem, together we strive to make sure that our associates demonstrate this philosophy in their day-to-day dealings with our affiliated health plan members, providers and business partners."
"apache","https://www.apache.org/","The ASF provides an established framework for intellectual property and financial contributions that simultaneously limits potential legal exposure for our project committers. Through the ASF's meritocratic process known as ""The Apache Way,"" more than 620 individual Members and 5,500 Committers successfully collaborate to develop freely available enterprise-grade software, benefiting millions of users worldwide: thousands of software solutions are distributed under the Apache License; and the community actively participates in ASF mailing lists, mentoring initiatives, and ApacheCon, the Foundation's official user conference, trainings, and expo."
"applied-materials","http://www.appliedmaterials.com/company/about","pplied Materials is the leader in materials engineering solutions used to produce virtually every new chip and advanced display in the world. Our expertise in modifying materials at atomic levels and on an industrial scale enables customers to transform possibilities into reality. Our innovations make possible the technology shaping the future."
"aramark","http://www.aramark.com/","We are a leading global provider of food, facilities and uniform services to education, healthcare, business and industry, and sports, leisure and corrections clients. Our core market is North America, which is supplemented by an additional 20-country footprint serving many of the fastest-growing global geographies.Through our established brand, broad geographic presence and approximately 270,000 employees, we anchor our business in our partnerships with thousands of clients"
