,id,feat,label
308,host-hotels-and-resorts,,6
309,hp,,5
310,hrg-group,,1
311,hsbc,,1
312,humana-inc,,1
313,huntington-ingalls-industries,,3
314,huntsman-corporation,,1
315,hyatt,,1
316,hyatt-regency,,3
317,hyundai,,6
318,ibm,,2
319,icahn-enterprises-lp,,4
320,iheartmedia,,4
321,ikea,,3
322,illinois-tool-works,,3
323,infosys,,3
324,ingersoll-rand,,1
325,ingram-micro,,1
326,ingredion-incorporated,,6
327,insight-enterprises,,3
328,intel,,2
329,international-paper,,4
330,intl-fcstone,,4
331,invesco,,6
332,iron-mountain-inc,,1
333,jabil,,4
334,jack-daniels,,5
335,jack-in-the-box,,5
336,jacobs-engineering,,4
337,jarden-corporation,,3
338,jb-hunt-transport-services,,3
339,jc-penney,,1
340,jetblue-airways-corporation,,3
341,jm-smucker,,3
342,john-hancock,,2
343,johnnie-walker,,6
344,johnson-controls,,3
345,johnson-johnson,,1
346,johnsons,,3
347,jones-lang-lasalle-incorporated,,3
348,jp-morgan,,1
349,kelloggs,,3
350,kelly-services,,2
351,kenworth,,1
352,keycorp,,3
353,kfc,,5
354,kia,,2
355,kimberlyclark-corporation,,4
356,kindred-healthcare,,3
357,kitchenaid,,4
358,kkr,,1
359,kohls,,1
360,kraft,,3
361,kroger,,6
362,l-brands,,1
363,l3-communications-holdings,,6
364,laboratory-corp-of-america,,1
365,lam-research-corporation,,3
366,land-olakes,,6
367,landrover,,2
368,lansing-trade-group,,3
369,las-vegas-sands,,3
370,lawson-software,,4
371,lear-corporation,,1
372,lee,,2
373,lego,,0
374,lennar,,4
375,lenovo,,3
376,leucadia-national-corporation,,6
377,level-3,,1
378,levis,,2
379,liberty-interactive-corporation,,2
380,liberty-mutual-holding-company,,1
381,lifepoint-health,,1
382,lilly,,3
383,lincoln,,1
384,linkedin,,1
385,listerine,,1
386,lithia-motors,,3
387,live-nation-entertainment,,1
388,lkq-corporation,,1
389,lm,,0
390,lockheed-martin,,4
391,loews-corporation,,5
392,loreal,,1
393,louis-vuitton,,5
394,lowes,,2
395,lyondellbasell,,3
396,mac,,1
397,macys,,1
398,marathon-petroleum,,5
399,markel-corporation,,5
400,marriott,,3
401,mars,,3
402,marshalls,,1
403,masco,,1
404,massachusetts-mutual-life-insurance-company,,1
405,mastercard,,5
406,mattel,,5
407,max-factor,,1
408,maytag,,3
409,mccormick,,5
410,mcdonalds,,0
411,mckesson,,4
412,mckinsey,,4
413,mclane-company,,3
414,medtronic,,4
415,mercedes-benz,,6
416,merck,,1
417,metlife,,4
418,mgm-resorts-international,,1
419,michael-kors,,6
420,michaels,,3
421,micron-technology,,1
422,microsoft,,1
423,mini,,3
424,minute-maid,,2
425,mobil,,3
426,moet,,3
427,mohawk-industries,,3
428,molina-healthcare,,3
429,mondelez-international,,1
430,monsanto-company,,1
431,monster-beverage,,5
432,moodys,,1
433,morgan-stanley,,4
434,mosaic,,2
435,motorola,,5
436,mountain-dew,,6
437,mt-bank,,4
438,mtv,,2
439,murphy-usa,,3
440,mutual-of-omaha-insurance-company,,5
441,national-oilwell-varco,,2
442,nationwide-mutual-insurance-co,,3
443,navient-corporation,,4
444,navistar-international-corporation,,4
445,nbc,,6
446,ncr-corporation,,1
447,nestle,,1
448,netapp,,1
449,netflix,,3
450,neutrogena,,1
451,new-york-life-insurance-company,,0
452,newell-brands,,3
453,newmont-mining-corporation,,3
454,newport,,1
455,news-corporation,,1
456,nextera-energy,,3
457,ngl-energy-partners-lp,,2
458,nielsen,,3
459,nike,,2
460,nisource,,4
461,nissan,,5
462,nordstrom,,4
463,norfolk,,2
464,northrop-grumman-corporation,,1
465,northwestern-mutual-life-insurance-company,,1
466,norwegian-cruise,,2
467,nrg-energy,,2
468,nucor-corporation,,3
469,nvidia,,4
470,nvr,,3
471,occidental-petroleum-corporation,,5
472,office-depot,,2
473,old-navy,,3
474,old-republic-international-corporation,,3
475,omnicom-group,,4
476,oneok,,1
477,optumhealth,,1
478,oracle,,4
479,oral-b,,3
480,oreilly-auto-parts,,2
481,oshkosh-corporation,,3
482,otis,,3
483,owens-corning,,5
484,owens-minor,,1
485,owensillinois,,5
486,p-and-g,,2
487,paccar-inc,,1
488,pacific-life,,6
489,packaging-corporation-of-america,,2
490,panasonic,,4
491,panera-bread,,2
492,paramount,,5
493,parker-hannifin,,2
494,parliament,,1
495,patterson-companies,,3
496,paypal,,1
497,pbf-energy,,5
498,peabody-energy-corporation,,3
499,penske-automotive-group,,2
500,pepsi,,3
501,performance-food-group-company,,4
502,petsmart,,1
503,pfizer,,3
504,pge,,0
505,philadelphia-insurance-companies,,1
506,philip-morris,,6
507,phillips,,5
508,pitney-bowes-inc,,1
509,pizza-hut,,5
510,plains-gp-holdings,,1
511,pnc,,3
512,polaris-inds,,4
513,porsche,,6
514,ppg,,5
515,ppl-corporation,,5
516,prada,,4
517,pratt-and-whitney,,1
518,praxair,,2
519,precision-castparts-corp,,2
520,priceline,,4
521,principal-financial-group,,1
522,progressive,,4
523,prudential,,1
524,pseg,,1
525,publix,,1
526,pultegroup,,1
527,purina,,1
528,pvh-corp,,5
529,quaker-foods-and-snacks,,0
530,qualcomm,,1
531,quanta-services-inc,,3
532,quest-diagnostic,,3
533,quintiles-transnational-holdings,,4
534,qvc,,5
535,rackspace,,3
536,ralph-lauren,,3
537,ramada,,3
538,raymond-james,,4
539,raytheon,,1
540,realogy-holdings-corp,,4
541,regions,,4
542,reinsurance-group-of-america,,3
543,reliance-steel-aluminum-co,,3
544,republic-services,,1
545,reynolds-american,,3
546,rite-aid-corporation,,5
547,rockwell-automation,,1
548,ross-dress-for-less,,2
549,royal-caribbean-cruises,,1
550,rr-donnelley-and-sons-co,,4
551,ryder-system,,1
552,sabre,,1
553,safeway,,1
554,salesforce,,2
555,sams-club,,4
556,samsung,,3
557,sandisk,,1
558,sanmina-corporation,,6
559,santander,,3
560,sap,,2
561,schlumberger,,1
562,seaboard-corporation,,1
563,seagate,,4
564,sealed-air-corporation,,3
565,sears-holdings-corporation,,1
566,seiyu,,5
567,sempra-energy,,1
568,sheraton,,6
569,sherwin-williams,,2
570,siemens,,4
571,simon-property-group,,3
572,sirius,,1
573,skechers,,4
574,snap-on-inc,,4
575,sonic-automotive,,3
576,sony,,1
577,southern-company,,3
578,southwest,,4
579,spartannash-company,,1
580,spectra-energy-corp,,2
581,spectrum,,1
582,spirit-aerosystems-holdings,,3
583,sprint,,3
584,sprite,,2
585,st-jude-medical,,4
586,stanley-black--decker,,1
587,staples,,1
588,starbucks,,5
589,starwood-hotels--resorts-worldwide,,3
590,state-farm-insurance-cos,,4
591,state-street,,6
592,steel-dynamics,,4
593,stryker,,1
594,subway,,1
595,sun-america,,1
596,sunoco,,2
597,suntrust,,1
598,supervalu,,1
599,symantec,,1
600,synnex-corporation,,3
601,sysco,,2
602,taco-bell,,5
603,targa-resources-corp,,1
604,target,,6
605,tata-consultancy-services,,1
606,teachers-insurance-and-annuity-association,,3
607,tech-data,,1
608,tech-mahindra,,3
609,telephone-and-data-systems,,6
610,tenet-healthcare-corp,,2
611,tenneco,,1
612,teradata,,1
613,terex-corporation,,4
614,tesla,,5
615,tesoro-corporation,,5
616,texas-instruments,,1
617,textron,,4
618,the-bank-of-new-york-mellon,,4
619,the-hartford,,5
620,the-home-depot,,0
621,the-north-face,,0
622,thermo-fisher-scientific,,1
623,thomson-reuters,,4
624,thrivent-financial-for-lutherans,,1
625,tiffany-co,,2
626,timberland,,6
627,time-inc,,1
628,time-warner-cable,,3
629,tjx,,1
630,tommy-hilfiger,,4
631,toyota,,6
632,toys-r-us,,1
633,tracfone,,1
634,tractor-supply,,3
635,travelcenters-of-america-llc,,5
636,travelers,,1
637,treehouse-foods,,6
638,trident,,2
639,trinity-industries,,4
640,tripadvisor,,6
641,tropicana-beverages,,3
642,twitter,,5
643,tyson,,2
644,uber,,5
645,ugi-corporation,,2
646,ulta-salon-cosmetics,,3
647,under-armour,,2
648,union-pacific,,5
649,united,,4
650,united-technologies,,1
651,unitedhealth,,4
652,univar,,4
653,universal-health-services,,4
654,universal-music-group,,3
655,unum-group,,3
656,upc,,5
657,ups,,5
658,us-bank,,1
659,us-foods-holding-corp,,5
660,valero,,6
661,veritiv-corp,,1
662,verizon,,1
663,vf-corporation,,5
664,victorias-secret,,2
665,visa,,3
666,visteon-corporation,,2
667,vmware,,4
668,volkswagen,,0
669,voya-financial,,3
670,walgreens,,1
671,walmart,,1
672,warner-bros,,6
673,washington-post,,4
674,waste-management,,3
675,wec-energy-group,,1
676,wellcare-health-plans,,1
677,wells-fargo,,0
678,welltower-inc,,1
679,wesco-international,,5
680,western-digital,,2
681,western-refining,,3
682,western-union,,1
683,westin,,3
684,westrock-company,,1
685,weyerhaeuser,,4
686,whirlpool,,2
687,whole-foods,,5
688,williams,,2
689,windstream,,3
690,wipro,,5
691,workday,,3
692,world-fuel-services-corporation,,3
693,wrigleys,,4
694,ww-grainger-inc,,1
695,wyndham,,1
696,wynn-resorts,,3
697,xbox,,1
698,xcel-energy-inc,,1
699,xerox,,1
700,xfinity,,3
701,xpo-logistics,,4
702,yahoo,,1
703,yoplait,,3
704,youtube,,3
705,yum-brands,,2
706,zara,,4
707,zimmer,,1
