StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q7,1_Q2,2_Q2,3_Q2,4_Q2,5_Q2,6_Q2,7_Q2,8_Q2,9_Q2,10_Q2,11_Q2,12_Q2,13_Q2,14_Q2,15_Q2,16_Q2,17_Q2,18_Q2,19_Q2,20_Q2,21_Q2,22_Q2,23_Q2,24_Q2,25_Q2,26_Q2,27_Q2,28_Q2,29_Q2,30_Q2,31_Q2,32_Q2,33_Q2,34_Q2,35_Q2,36_Q2,37_Q2,38_Q2,39_Q2,40_Q2,41_Q2,42_Q2,43_Q2,44_Q2,45_Q2,46_Q2,47_Q2,48_Q2,49_Q2,50_Q2,Q13,Q11,Q13,Q15,WBLID,Session,Payment,Bonus,Retake,Complete
2021-02-10 10:01:14,2021-02-10 10:05:44,IP Address,100,270,True,2021-02-10 10:05:45,R_1OriWESYd0ZMB3f,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,,,,,,,,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,,,,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,"I was familiar with some of the brands, but not most of the brands",United States,1-4 years,25-34,61906,120130,5 Amazon Gift Card,0,False,2021-02-10T10:05:44-05:00
2021-02-10 10:03:00,2021-02-10 10:05:45,IP Address,100,164,True,2021-02-10 10:05:45,R_3OfwsGezQx4oqpj,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,,,,,,Brand #1: ${lm://Field/7},,,,,,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,,,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,I was familiar with very few of the brands,Something else,1-4 years,18-24,51996,120130,5 Amazon Gift Card,0,False,2021-02-10T10:05:45-05:00
2021-02-10 10:01:05,2021-02-10 10:06:46,IP Address,100,341,True,2021-02-10 10:06:47,R_28V4OfxBm0bhZn5,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #2: ${lm://Field/13},,,,,,,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},,,,,,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,,,,,,,Brand #2: ${lm://Field/13},"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,61792,120130,5 Amazon Gift Card,0,False,2021-02-10T10:06:46-05:00
2021-02-10 10:02:13,2021-02-10 10:06:51,IP Address,100,277,True,2021-02-10 10:06:51,R_3ptCQzwqnouil9N,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,,,,,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,54939,120130,5 Amazon Gift Card,0,False,2021-02-10T10:06:51-05:00
2021-02-10 10:02:49,2021-02-10 10:06:55,IP Address,100,246,True,2021-02-10 10:06:55,R_24j9LavXzw1tyms,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,,,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,,,,,,,,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},"I was familiar with most of the brands, but not all of the brands",United States,4-10 years,18-24,48776,120130,5 Amazon Gift Card,0,False,2021-02-10T10:06:55-05:00
2021-02-10 10:03:00,2021-02-10 10:06:56,IP Address,100,235,True,2021-02-10 10:06:56,R_2TszI2ajkKgfpav,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,,,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,,,,,,,Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,49210,120130,5 Amazon Gift Card,0,False,2021-02-10T10:06:56-05:00
2021-02-10 10:03:55,2021-02-10 10:06:56,IP Address,100,181,True,2021-02-10 10:06:57,R_1EilhKPz4NV7Z2w,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,,,,,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,,,,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,,Brand #2: ${lm://Field/13},,,,,,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,"I was familiar with some of the brands, but not most of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,58753,120130,5 Amazon Gift Card,0,False,2021-02-10T10:06:56-05:00
2021-02-10 10:05:30,2021-02-10 10:07:18,IP Address,100,108,True,2021-02-10 10:07:18,R_9TeJGRFuQEcKJa1,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,Brand #1: ${lm://Field/7},,,,,,,,,,,,,,,,,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,,,,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},Brand #2: ${lm://Field/13},,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,Brand #1: ${lm://Field/7},,,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,59952,120130,5 Amazon Gift Card,0,False,2021-02-10T10:07:18-05:00
2021-02-10 10:03:22,2021-02-10 10:07:22,IP Address,100,239,True,2021-02-10 10:07:22,R_01cKKNBaxk53InT,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,,,,,,Brand #1: ${lm://Field/7},,,,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,51005,120130,5 Amazon Gift Card,0,False,2021-02-10T10:07:22-05:00
2021-02-10 10:03:34,2021-02-10 10:07:25,IP Address,100,231,True,2021-02-10 10:07:26,R_2feum3kcC7qTRak,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,Brand #1: ${lm://Field/7},,,,Brand #1: ${lm://Field/7},,,,,,,,,,,,,,,,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},,,I was familiar with very few of the brands,United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,55991,120130,5 Amazon Gift Card,0,False,2021-02-10T10:07:25-05:00
2021-02-10 10:03:43,2021-02-10 10:07:59,IP Address,100,256,True,2021-02-10 10:07:59,R_3nIUcnVV9SYJllX,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},,,,,,,,Brand #2: ${lm://Field/13},,,,,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,Brand #2: ${lm://Field/13},Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,59858,120130,5 Amazon Gift Card,0,False,2021-02-10T10:07:59-05:00
2021-02-10 10:00:58,2021-02-10 10:08:14,IP Address,100,435,True,2021-02-10 10:08:14,R_1Dp9WNX6Osmx8tJ,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,,,,,,,Brand #1: ${lm://Field/7},,,,,,,,,Brand #2: ${lm://Field/13},Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,,,,,Brand #1: ${lm://Field/7},,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,,,,,"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",18-24,49200,120130,5 Amazon Gift Card,0,False,2021-02-10T10:08:14-05:00
2021-02-10 10:02:56,2021-02-10 10:08:15,IP Address,100,319,True,2021-02-10 10:08:15,R_2YKFPQhguAesevi,email,EN,"By clicking here, I certify that I have read the above, that I am over the age of 18, and that I consent to my data being used for this study.",,,,,,,,Brand #1: ${lm://Field/7},,,,,Brand #2: ${lm://Field/13},,,,,,Brand #1: ${lm://Field/7},,,,,,Brand #1: ${lm://Field/7},,,,Brand #2: ${lm://Field/13},,,,Brand #1: ${lm://Field/7},,,Brand #2: ${lm://Field/13},,Brand #2: ${lm://Field/13},,,,,Brand #1: ${lm://Field/7},Brand #1: ${lm://Field/7},,Brand #2: ${lm://Field/13},,,,Brand #2: ${lm://Field/13},"I was familiar with most of the brands, but not all of the brands",United States,"All or most of my life (e.g., born in the US, or moved to the US as a child)",25-34,58667,120130,5 Amazon Gift Card,0,False,2021-02-10T10:08:15-05:00
